I1,k,t1,I2,t2,ttf
22.286,0.169001549,2.291666667,23.226,8.016666667,58.825
26.512,0.172713356,2.391666667,27.524,8.358333333,50.11666667
24.999,0.154568656,2.383333333,25.897,8.341666667,99.88333333
18.716,0.145680442,2.45,19.577,8.575,42.93333333
20.629,0.137069851,2.375,21.411,8.283333333,67.125
22.489,0.143389328,2.383333333,23.315,8.341666667,49.8
24.404,0.114526847,2.408333333,25.072,8.425,84.925
22.565,0.158657247,2.4,23.486,8.391666667,42.85
23.69,0.171731593,2.383333333,24.683,8.333333333,28.2
22.449,0.175449736,2.383333333,23.461,8.341666667,34.66666667
22.761,0.179442982,2.008333333,23.615,7.025,75.75
22.446,0.158193097,2.391666667,23.357,8.366666667,66.68333333
19.415,0.151112592,2.391666667,20.278,8.358333333,51.41666667
21.54,0.158524909,2.333333333,22.426,8.15,47.375
25.858,0.160617647,2.358333333,26.772,8.25,41.20833333
23.978,0.16547086,2.383333333,24.934,8.333333333,27.83333333
20.446,0.146083653,2.375,21.278,8.308333333,45.38333333
25.893,0.161754173,2.375,26.823,8.3,99.88333333
22.994,0.208851733,2.191666667,24.085,7.658333333,28.89166667
23.419,0.222418728,2.35,24.673,8.225,29.475
26.563,0.200722295,2.008333333,27.515,7.016666667,38.01666667
19.518,0.211078681,2.375,20.7,8.225,31.45
26.909,0.220186878,2.325,28.142,8.125,37.66666667
25.855,0.209393635,2.375,27.056,8.308333333,50.26666667
23.996,0.203383884,2.383333333,25.166,8.341666667,46.38333333
26.263,0.186545996,1.95,27.117,6.825,55.6
25.589,0.203693182,2.191666667,26.673,7.666666667,15.30833333
26.66,0.200104349,1.991666667,27.603,6.966666667,28.575
27.779,0.191069817,1.958333333,28.662,6.85,53.03333333
25.205,0.204214617,2.016666667,26.179,7.05,33.775
26.666,0.223092641,2.008333333,27.725,7.025,43.76666667
23.834,0.219916091,2.191666667,24.991,7.666666667,41.78333333
23.844,0.223222045,2.2,25.014,7.675,31.95
26.788,0.215947924,2.083333333,27.857,7.291666667,49.08333333
28.734,0.215762448,2.016666667,29.765,7.05,40.03333333
23.402,0.218126199,2.391666667,24.66,8.366666667,43.24166667
26.925,0.207346683,2.016666667,27.915,7.058333333,38.025
25.287,0.21717915,2.391666667,26.538,8.358333333,36.34166667
29.79,0.530725462,0.125,30.029,0.325,24.83333333
